Security,IVV US Equity,
Start Date,2025/5/15 0:00,
End Date,2026/5/15 0:00,
Period,D,
Currency,USD,
,,
Date,EQY_SH_OUT,PX_BID
2025/6/12,952.9,606.64
2025/6/11,952,604.33
2025/6/10,977.8,605.97
2025/6/9,981.45,602.44
2025/6/6,982.65,601.92
2025/6/5,982.2,595.83
2025/6/4,981.35,598.77
2025/6/3,981,598.98
2025/6/2,981.4,595.47
2025/5/30,981.85,592.27
2025/5/29,982.25,592.81
2025/5/28,982.5,590.48
2025/5/27,982.95,593.87
2025/5/23,983.5,581.92
2025/5/22,983.85,585.81
2025/5/21,982.55,585.75
2025/5/20,984.9,595.63
2025/5/19,995.45,597.78
2025/5/16,996.25,597.12
2025/5/15,995.95,593.24
